pair,qx,qy,model_improve,actual_improve
161,0,-1,1.800211612135172e-05,1.63146760314703e-05
503,-10,0,2.3809174308553338e-05,1.625996083021164e-05
69,0,-1,9.63935162872076e-05,1.603621058166027e-05
288,0,2,2.902321284636855e-06,1.581417745910585e-05
150,0,-1,4.211673513054848e-06,1.575588248670101e-05
338,3,0,1.9225175492465496e-05,1.566544233355671e-05
381,1,1,8.375092875212431e-06,1.5037425328046083e-05
71,-3,2,1.8419930711388588e-05,1.4972087228670716e-05
585,4,1,8.914685167837888e-06,1.4907927834428847e-05
151,0,-2,2.2284919396042824e-05,1.481443177908659e-05
353,0,1,9.872601367533207e-06,1.4282268239185214e-05
398,1,-2,9.615643648430705e-06,1.4196644769981503e-05
586,0,-1,9.016584954224527e-06,1.417279418092221e-05
145,-3,-3,2.1630956325680017e-05,1.4029617886990309e-05
76,-1,-1,9.97789902612567e-06,1.3748795026913285e-05
21,-3,0,1.3304037565831095e-05,1.369530764350202e-05
156,1,0,1.4281831681728363e-05,1.341826282441616e-05
530,0,-2,4.2500178096815944e-05,1.3050390407443047e-05
508,3,1,1.2575386790558696e-05,1.292489469051361e-05
147,1,0,1.3608718290925026e-05,1.2812553904950619e-05
315,5,-1,0.00010229501640424132,1.2684438843280077e-05
501,3,0,8.256174623966217e-06,1.2547068763524294e-05
25,25,0,2.280978878843598e-05,1.240503479493782e-05
445,3,-1,2.3501866962760687e-05,1.2383679859340191e-05
476,1,-1,1.2900760339107364e-05,1.2121250620111823e-05
575,4,-1,2.424690410407493e-05,1.193598291138187e-05
374,1,-1,1.333771797362715e-05,1.1429059668444097e-05
121,1,1,2.36177584156394e-05,1.1074123904109001e-05
379,1,-2,1.2500982847996056e-05,1.0995354386977851e-05
177,1,-1,6.614718586206436e-06,1.0790885426104069e-05
41,5,-1,1.387990232615266e-05,1.0781321179820225e-05
395,-2,1,8.845381671562791e-06,1.0574993211776018e-05
286,-3,-2,3.081088652834296e-05,1.0489951819181442e-05
233,1,2,9.193914593197405e-06,1.0248360922560096e-05
492,1,-1,9.673472959548235e-06,9.795359801501036e-06
458,0,1,1.4892328181304038e-05,9.623341611586511e-06
