pair,qx,qy,model_improve,actual_improve
549,-10,0,4.2780477087944746e-05,-0.00016327667981386185
323,3,-2,2.489433973096311e-05,-0.00016394827980548143
102,4,-2,6.154092261567712e-05,-0.00016430031973868608
351,4,0,6.549293175339699e-06,-0.0001653962244745344
573,3,2,2.5037143132067285e-06,-0.00017296458827331662
584,13,1,7.582599209854379e-06,-0.0001842692436184734
551,5,0,1.4474557247012854e-05,-0.00018475536489859223
519,4,0,6.562157068401575e-06,-0.0001987858267966658
242,-10,-5,8.432867616647854e-06,-0.00020339380716904998
594,-4,0,6.866580406494904e-07,-0.00021709679276682436
329,4,-2,1.3291108189150691e-05,-0.0002496730303391814
543,-4,2,1.9919127225875854e-05,-0.0002695266739465296
83,-1,2,2.8570357244461775e-06,-0.0002728350809775293
511,12,2,6.221112562343478e-05,-0.00027658516773954034
163,-4,1,3.7184800021350384e-06,-0.0002861087559722364
45,-25,0,9.163998765870929e-05,-0.0002999202406499535
4,-4,2,6.9641610025428236e-06,-0.00030296697514131665
536,20,-1,2.8296606615185738e-05,-0.00030694741872139275
53,-4,-1,1.9099621567875147e-05,-0.00031724406289868057
569,20,-1,3.38344689225778e-05,-0.00032913131872192025
541,-2,2,5.856272764503956e-07,-0.00036806269781664014
540,6,5,2.260037581436336e-05,-0.00038562400732189417
430,4,-1,3.303110133856535e-05,-0.0004397201118990779
434,4,-2,2.5171844754368067e-05,-0.00044063455425202847
44,-3,-2,1.1312844435451552e-05,-0.00044436799362301826
271,-9,5,6.688293069601059e-05,-0.0005616322159767151
355,-18,6,7.233655196614563e-05,-0.000570531701669097
449,4,-2,5.833775503560901e-06,-0.0006802636198699474
481,14,-1,3.741135151358321e-05,-0.0008318240288645029
596,-11,-5,5.595984112005681e-05,-0.000968580599874258
82,15,-5,2.4017092073336244e-05,-0.0010052846046164632
237,-20,5,8.837119094096124e-05,-0.0014017611974850297
