pair,base_mse,best_mse,improve,dx,dy,qx,qy
309,0.0007984951371327043,0.0007255342788994312,7.296085823327303e-05,0.3,-0.1,3,-1
504,0.0003105135983787477,0.00023817381588742137,7.233978249132633e-05,0.7,-0.3,7,-3
32,0.00014602375449612737,7.549145084340125e-05,7.053230365272611e-05,-0.8,0.6,-8,6
361,0.00021807038865517825,0.00014765023661311716,7.042015204206109e-05,0.6,-0.5,6,-5
263,0.0004125310806557536,0.0003421613364480436,7.036974420771003e-05,-1.2,-0.1,-12,-1
236,0.0002530209894757718,0.00018283647659700364,7.018451287876815e-05,-2.8,-0.2,-28,-2
399,0.0004094864707440138,0.0003393918741494417,7.009459659457207e-05,0.0,0.1,0,1
254,0.00016360833251383156,9.474451508140191e-05,6.886381743242964e-05,-0.7,0.1,-7,1
276,0.0009397701360285282,0.0008709367248229682,6.883341120555997e-05,-0.4,-0.1,-4,-1
271,0.0004437370807863772,0.0003758163074962795,6.792077329009771e-05,-0.9,0.5,-9,5
451,0.0005463366396725178,0.0004793252737727016,6.701136589981616e-05,0.1,0.0,1,0
134,0.0019231336191296577,0.0018561858450993896,6.694777403026819e-05,0.1,0.2,1,2
418,0.0009176055900752544,0.0008508394239470363,6.676616612821817e-05,0.2,-0.1,2,-1
148,0.0018649138510227203,0.0017996070673689246,6.530678365379572e-05,0.0,0.2,0,2
488,0.00029481269302777946,0.0002300530904904008,6.475960253737867e-05,0.4,0.1,4,1
249,0.0002757158945314586,0.00021221942733973265,6.349646719172597e-05,-1.4,-0.5,-14,-5
305,0.0007122598472051322,0.0006501071620732546,6.215268513187766e-05,0.2,0.0,2,0
435,0.0013000061735510826,0.001238228753209114,6.177742034196854e-05,-1.2,-0.5,-12,-5
354,0.0003412186342757195,0.00028070248663425446,6.051614764146507e-05,-2.5,0.1,-25,1
484,0.00020189097267575562,0.0001416880259057507,6.020294677000493e-05,-0.1,0.2,-1,2
373,0.00026147597236558795,0.00020149871124885976,5.9977261116728187e-05,-2.1,-0.5,-21,-5
400,0.00031870658858679235,0.00026019304641522467,5.851354217156768e-05,-0.2,0.2,-2,2
580,7.138551154639572e-05,1.3209373719291762e-05,5.817613782710396e-05,0.4,0.1,4,1
596,0.00019838439766317606,0.0001406575320288539,5.7726865634322166e-05,-1.1,-0.5,-11,-5
120,0.0015570218674838543,0.0015003976877778769,5.662417970597744e-05,0.3,0.1,3,1
313,0.0002627332287374884,0.0002061812556348741,5.6551973102614284e-05,-0.1,0.2,-1,2
264,0.00010015565203502774,4.378594894660637e-05,5.6369703088421375e-05,-1.2,0.1,-12,1
67,0.0015650603454560041,0.0015087383799254894,5.632196553051472e-05,-0.4,-0.2,-4,-2
106,0.002153851557523012,0.0020975491497665644,5.630240775644779e-05,-0.1,0.2,-1,2
73,0.0009185100789181888,0.0008630919037386775,5.541817517951131e-05,0.1,0.1,1,1
169,0.0009992108680307865,0.0009443423477932811,5.4868520237505436e-05,-0.4,0.2,-4,2
193,0.001317356713116169,0.0012626642128452659,5.469250027090311e-05,-0.4,0.2,-4,2
314,0.00039948750054463744,0.0003448882489465177,5.4599251598119736e-05,0.4,-0.2,4,-2
205,0.000946380605455488,0.0008925970178097486,5.378358764573932e-05,-0.1,0.2,-1,2
546,0.0005577146075665951,0.0005044517456553876,5.326286191120744e-05,0.8,-0.1,8,-1
414,0.00028774887323379517,0.0002347324916627258,5.301638157106936e-05,-2.3,0.1,-23,1
287,0.0003900461015291512,0.000337290286552161,5.275581497699022e-05,-0.7,-0.1,-7,-1
172,0.0007439226610586047,0.0006918940925970674,5.202856846153736e-05,0.1,0.0,1,0
